"通し
No",区分,分類,"分類別
No",名前,データのURL,"データ
形式",説明,公開ウェブページ,公表組織名,連絡先,更新頻度,対象地域
11,行政,避難所,2,避難施設整理番号（青森県）,http://www.kokuminhogo.go.jp/pdf/hinan_aomori.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,青森県
12,行政,避難所,3,避難施設整理番号（岩手県）,http://www.kokuminhogo.go.jp/pdf/hinan_iwate.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,岩手県
13,行政,避難所,4,避難施設整理番号（宮城県）,http://www.kokuminhogo.go.jp/pdf/hinan_miyagi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,宮城県
14,行政,避難所,5,避難施設整理番号（秋田県）,http://www.kokuminhogo.go.jp/pdf/hinan_akita.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,秋田県
15,行政,避難所,6,避難施設整理番号（山形県）,http://www.kokuminhogo.go.jp/pdf/hinan_yamagata.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,山形県
16,行政,避難所,7,避難施設整理番号（福島県）,http://www.kokuminhogo.go.jp/pdf/hinan_fukushima.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,福島県
17,行政,避難所,8,避難施設整理番号（茨城県）,http://www.kokuminhogo.go.jp/pdf/hinan_ibaraki.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,茨城県
18,行政,避難所,9,避難施設整理番号（栃木県）,http://www.kokuminhogo.go.jp/pdf/hinan_tochigi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,栃木県
19,行政,避難所,10,避難施設整理番号（群馬県）,http://www.kokuminhogo.go.jp/pdf/hinan_gunma.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,群馬県
20,行政,避難所,11,避難施設整理番号（埼玉県）,http://www.kokuminhogo.go.jp/pdf/hinan_saitama.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,埼玉県
21,行政,避難所,12,避難施設整理番号（千葉県）,http://www.kokuminhogo.go.jp/pdf/hinan_chiba.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,千葉県
22,行政,避難所,13,避難施設整理番号（東京都）,http://www.kokuminhogo.go.jp/pdf/hinan_tokyo.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,東京都
23,行政,避難所,14,避難施設整理番号（神奈川県）,http://www.kokuminhogo.go.jp/pdf/hinan_kanagawa.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,神奈川県
24,行政,避難所,15,避難施設整理番号（新潟県）,http://www.kokuminhogo.go.jp/pdf/hinan_niigata.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,新潟県
25,行政,避難所,16,避難施設整理番号（山梨県）,http://www.kokuminhogo.go.jp/pdf/hinan_yamanashi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,山梨県
26,行政,避難所,17,避難施設整理番号（長野県）,http://www.kokuminhogo.go.jp/pdf/hinan_nagano.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,長野県
27,行政,避難所,18,避難施設整理番号（富山県）,http://www.kokuminhogo.go.jp/pdf/hinan_toyama.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,富山県
28,行政,避難所,19,避難施設整理番号（石川県）,http://www.kokuminhogo.go.jp/pdf/hinan_ishikawa.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,石川県
29,行政,避難所,20,避難施設整理番号（福井県）,http://www.kokuminhogo.go.jp/pdf/hinan_fukui.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,福井県
30,行政,避難所,21,避難施設整理番号（岐阜県）,http://www.kokuminhogo.go.jp/pdf/hinan_gifu.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,岐阜県
31,行政,避難所,22,避難施設整理番号（静岡県）,http://www.kokuminhogo.go.jp/pdf/hinan_shizuoka.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,静岡県
32,行政,避難所,23,避難施設整理番号（愛知県）,http://www.kokuminhogo.go.jp/pdf/hinan_aichi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,愛知県
33,行政,避難所,24,避難施設整理番号（三重県）,http://www.kokuminhogo.go.jp/pdf/hinan_mie.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,三重県
34,行政,避難所,25,避難施設整理番号（滋賀県）,http://www.kokuminhogo.go.jp/pdf/hinan_shiga.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,滋賀県
35,行政,避難所,26,避難施設整理番号（京都府）,http://www.kokuminhogo.go.jp/pdf/hinan_kyoto.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,京都府
36,行政,避難所,27,避難施設整理番号（大阪府）,http://www.kokuminhogo.go.jp/pdf/hinan_osaka.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,大阪府
37,行政,避難所,28,避難施設整理番号（兵庫県）,http://www.kokuminhogo.go.jp/pdf/hinan_hyogo.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,兵庫県
38,行政,避難所,29,避難施設整理番号（奈良県）,http://www.kokuminhogo.go.jp/pdf/hinan_nara.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,奈良県
39,行政,避難所,30,避難施設整理番号（和歌山県）,http://www.kokuminhogo.go.jp/pdf/hinan_wakayama.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,和歌山県
40,行政,避難所,31,避難施設整理番号（鳥取県）,http://www.kokuminhogo.go.jp/pdf/hinan_tottori.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,鳥取県
41,行政,避難所,32,避難施設整理番号（島根県）,http://www.kokuminhogo.go.jp/pdf/hinan_shimane.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,島根県
42,行政,避難所,33,避難施設整理番号（岡山県）,http://www.kokuminhogo.go.jp/pdf/hinan_okayama.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,岡山県
43,行政,避難所,34,避難施設整理番号（広島県）,http://www.kokuminhogo.go.jp/pdf/hinan_hiroshima.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,広島県
44,行政,避難所,35,避難施設整理番号（山口県）,http://www.kokuminhogo.go.jp/pdf/hinan_yamaguchi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,山口県
45,行政,避難所,36,避難施設整理番号（徳島県）,http://www.kokuminhogo.go.jp/pdf/hinan_tokushima.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,徳島県
46,行政,避難所,37,避難施設整理番号（香川県）,http://www.kokuminhogo.go.jp/pdf/hinan_kagawa.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,香川県
47,行政,避難所,38,避難施設整理番号（愛媛県）,http://www.kokuminhogo.go.jp/pdf/hinan_ehime.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,愛媛県
48,行政,避難所,39,避難施設整理番号（高知県）,http://www.kokuminhogo.go.jp/pdf/hinan_kochi.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,高知県
49,行政,避難所,40,避難施設整理番号（福岡県）,http://www.kokuminhogo.go.jp/pdf/hinan_fukuoka.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,福岡県
50,行政,避難所,41,避難施設整理番号（佐賀県）,http://www.kokuminhogo.go.jp/pdf/hinan_saga.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,佐賀県
51,行政,避難所,42,避難施設整理番号（長崎県）,http://www.kokuminhogo.go.jp/pdf/hinan_nagasaki.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,長崎県
52,行政,避難所,43,避難施設整理番号（熊本県）,http://www.kokuminhogo.go.jp/pdf/hinan_kumamoto.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,熊本県
53,行政,避難所,44,避難施設整理番号（大分県）,http://www.kokuminhogo.go.jp/pdf/hinan_oita.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,大分県
54,行政,避難所,45,避難施設整理番号（宮崎県）,http://www.kokuminhogo.go.jp/pdf/hinan_miyazaki.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,宮崎県
55,行政,避難所,46,避難施設整理番号（鹿児島県）,http://www.kokuminhogo.go.jp/pdf/hinan_kagoshima.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,鹿児島県
56,行政,避難所,47,避難施設整理番号（沖縄県）,http://www.kokuminhogo.go.jp/pdf/hinan_okinawa.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,沖縄県
57,行政,公共施設,1,公共施設大分類コード,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html,html,全国の官公署、学校、病院、郵便局、社会福祉施設等の位置及び種別、名称、住所、管理者等のデータを整備したもの,http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P02-v4_0.html,国土交通省,国土交通省国土政策局国土情報課,不定期,
58,行政,公共施設,2,公共施設小分類コード,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMiclassCd.html,html,全国の官公署、学校、病院、郵便局、社会福祉施設等の位置及び種別、名称、住所、管理者等のデータを整備したもの,http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P02-v4_0.html,国土交通省,国土交通省国土政策局国土情報課,不定期,
59,行政,公共施設,3,公共施設管理者コード,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacAdminCd.html,html,全国の官公署、学校、病院、郵便局、社会福祉施設等の位置及び種別、名称、住所、管理者等のデータを整備したもの,http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P02-v4_0.html,国土交通省,国土交通省国土政策局国土情報課,不定期,
60,行政,住所,1,所在地コード,"※リンク不可
http://www.kantei.go.jp/jp/kanbou/25tyoutatu/dai4/dai4siryo2.pdf",pdf,"政府調達用コード
※外部リンク不可のため、URLをブラウザへ直接入力する必要がある",http://www.kantei.go.jp/jp/kanbou/25tyoutatu/,内閣官房,内閣官房副長官補付,1年単位,
61,行政,住所,2,都道府県コード(JISX0401),※リンク不可,pdf,「全国地方公共団体コード」のうち都道府県コードのJIS規格,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0401,総務省,一般財団法人日本情報経済社会推進協会,不定期,
62,行政,住所,3,市町村コード(JISX0402),※リンク不可,pdf,「全国地方公共団体コード」のうち市町村コードのJIS規格,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0402,総務省,財団法人　日本規格協会,不定期,
63,行政,住所,4,統計に用いる標準地域コード,http://www.stat.go.jp/index/seido/csv/9-5.csv,csv,"都道府県及び市町村の区域を示す統計情報の表章及び当該情報の相互利用のための基準
",http://www.stat.go.jp/index/seido/9-5.htm,総務省,総務省政策統括官（統計基準担当）付　統計審査官室,不定期,
64,行政,住所,5,平成22年国勢調査　地域一覧,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000010353060,xls,国勢調査に利用する地域一覧のコード,http://www.e-stat.go.jp/estat/html/kokusei/NewList-000001039448.html,総務省,総務省統計局統計調査部国勢統計課審査発表係,5年単位,
65,行政,住所,6,調査対象都道府県番号,http://www.env.go.jp/recycle/waste/sangyo/sangyo_h21a.pdf,pdf,"産業廃棄物排出・処理状況調査報告書
「表-Ⅱ・１　調査対象都道府県」",http://www.env.go.jp/recycle/waste/sangyo.html,環境省,環境省,不定期,
66,行政,住所,7,市町村コード,http://www.maff.go.jp/aqs/tetuzuki/system/other/naccs_an18.xls,xls,NACCS（動物検疫関連業務）で使用する各種コード,http://www.maff.go.jp/aqs/tetuzuki/system/anipas_code.html,農林水産省,農林水産省動物検疫所,不定期,
67,行政,国,1,国名コード(JISX0304)      ,※リンク不可,pdf,国名の表現をコード形式で要求する全ての応用に利用できることを意図して規定したもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0304,,,不定期,
68,行政,国,2,統計国名符号表,http://www.customs.go.jp/toukei/sankou/dgorder/a1.htm,html,外国貿易等に関する統計に使用するコード,http://www.customs.go.jp/toukei/sankou/dgorder/ts_dg_or.htm,財務省,財務省関税局,不定期,
69,行政,国,3,仕出国（地域)コード,http://www.maff.go.jp/aqs/tetuzuki/system/other/naccs_an2.xls,xls,NACCS（動物検疫関連業務）で使用する各種コード,http://www.maff.go.jp/aqs/tetuzuki/system/anipas_code.html,農林水産省,農林水産省動物検疫所,不定期,
70,行政,言語,1,言語名コード：2文字コード(JISX0412-1),※リンク不可,pdf,言語名を示す２個のラテン文字からなる言語識別子を含む言語名コードについて標準化を行い、生産及び使用の合理化、品質の向上を図るために制定したもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0412-1,,,不定期,
71,行政,言語,2,言語名コード：３文字コード(JISX0412-2),※リンク不可,pdf,言語名を示す３個のラテン文字からなる言語識別子を含む言語名コードについて規定したもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0412-2,,,不定期,
72,自然,川,1,河川コード,http://www.biodic.go.jp/reports2/5th/kasen/5_kasen.pdf,pdf,自然環境保全基礎調査のうち、河川調査に使用するコード（報告書「表１－２－１　調査対象河川一覧表」）,http://www.biodic.go.jp/kiso/23/23_kasen.html,環境省,環境省自然環境局生物多様性センター,不定期,
73,自然,川,2,業務対象水系・路線等コード表,http://www.maff.go.jp/j/nousin/seko/nouhin_youryou/pdf/code_suikei_rosen_h2308.pdf,pdf,農業農村整備事業の電子納品に係る業務・工事管理項目のコード表,http://www.maff.go.jp/j/nousin/seko/nouhin_youryou/sonota.html,農林水産省,農林水産省農村振興局整備部設計課施工企画調整室,不定期,
74,自然,湖沼,1,湖沼コード,http://www.biodic.go.jp/reports2/4th/kosho/4_kosho_all.pdf,pdf,自然環境保全基礎調査のうち、湖沼調査に使用するコード（報告書「図Ⅱ－２　調査対象湖沼位地図」）,http://www.biodic.go.jp/kiso/22/22_kosho.html,環境省,環境省自然環境局生物多様性センター,不定期,
75,自然,海,1,海域区分コード,http://www.biodic.go.jp/reports2/5th/umibecode/5_umibecode.pdf,pdf,"自然環境保全基礎調査（海辺調査）
（pdfの5ページから7ページ）",http://www.biodic.go.jp/kiso/99/umibe.html,環境省,環境省自然環境局生物多様性センター,不定期,
76,自然,島,1,島コード,http://www.biodic.go.jp/reports2/5th/umibecode/5_umibecode.pdf,pdf,自然環境保全基礎調査のうち、海辺調査に使用するコード（報告書「３．島コード」）,http://www.biodic.go.jp/kiso/99/umibe.html,,環境省自然環境局生物多様性センター,不定期,
77,自然,干潟,1,干潟コード,http://www.biodic.go.jp/reports2/6th/6_higata19/6_higata19.pdf,pdf,自然環境保全基礎調査のうち、浅海域生態系調査（干潟・藻場・サンゴ礁調査）に使用するコード（報告書「表２－１　全国干潟調査　調査地一覧」）,http://www.biodic.go.jp/kiso/34/34_higat.html,環境省,環境省自然環境局生物多様性センター,不定期,
78,自然,湿地,1,湿地コード,http://www.biodic.go.jp/dload/swp/swp05lst.lzh,lzh,自然環境保全基礎調査のうち、湿地調査に使用する湿地コード,http://www.biodic.go.jp/kiso/24/24_wet.html,環境省,環境省自然環境局生物多様性センター,不定期,
79,産業,法人,1,特定排出者コード（一般の民間企業等）,http://ghg-santeikohyo.env.go.jp/search/general,html,温室効果ガス排出量算定・報告・公表制度に係る特定排出者コード,http://ghg-santeikohyo.env.go.jp/search,環境省,環境省地球環境局地球温暖化対策課,不定期,
80,産業,法人,2,特定排出者コード検索（その他の事業者）,http://ghg-santeikohyo.env.go.jp/search/other,html,温室効果ガス排出量算定・報告・公表制度に係る特定排出者コード,http://ghg-santeikohyo.env.go.jp/search,環境省,環境省地球環境局地球温暖化対策課,不定期,
81,産業,産業分類,1,日本標準産業分類 ,http://www.stat.go.jp/index/seido/sangyo/19-3-1.htm,html,統計調査の結果を産業別に表示する場合の統計基準として，事業所において社会的な分業として行われる財及びサービスの生産又は提供に係るすべての経済活動を分類する,http://www.stat.go.jp/index/seido/sangyo/19-3.htm,総務省,総務省政策統括官（統計基準担当）付統計基準・産業連関表・調査技術担当統計審査官室,不定期,
82,産業,産業分類,2,産業分類コード(JISX0403),※リンク不可,pdf,統計基準の一つとして、公的統計を職業別に表示するために、 個人が従事している仕事の類似性に着目して区分し、それを体系的に配列した形で設定されたもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0403,,,不定期,
83,産業,産業分類,3,業種コード・届出先一覧,http://www.prtr.nite.go.jp/prtr/pdf/type.pdf,pdf,化管法(特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律)に係る届出コード,http://www.prtr.nite.go.jp/,経済産業省,製品評価技術基盤機構,不定期,
84,産業,職業分類,1,日本標準職業分類     ,http://www.stat.go.jp/index/seido/shokgyou/pdf/kou_h21.pdf,pdf,統計基準の一つとして、公的統計を職業別に表示するために、 個人が従事している仕事の類似性に着目して区分し、それを体系的に配列した形で設定されたもの,http://www.soumu.go.jp/toukei_toukatsu/index/seido/shokgyou/21index.htm,総務省,総務省政策統括官（統計基準担当）付統計基準・産業連関表・調査技術担当統計審査官室,不定期,
85,産業,職業分類,2,職業分類コード(JISX0404)  ,※リンク不可,pdf,統計調査の結果を商品別に表示する場合の統計基準として設定されたもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0404,,,不定期,
86,産業,商品,1,日本標準商品分類    （大・中分類項目表）,http://www.soumu.go.jp/main_content/000294373.pdf,,統計調査の結果を商品別に表示する場合の統計基準として設定されたもの,http://www.soumu.go.jp/toukei_toukatsu/index/seido/syouhin/2index.htm,総務省,総務省政策統括官（統計基準担当）付統計基準・産業連関表・調査技術担当統計審査官室,不定期,
87,産業,商品,2,日本標準商品分類     （小分類項目表）,http://www.soumu.go.jp/main_content/000294374.pdf,,統計調査の結果を商品別に表示する場合の統計基準として設定されたもの,http://www.soumu.go.jp/toukei_toukatsu/index/seido/syouhin/2index.htm,総務省,総務省政策統括官（統計基準担当）付統計基準・産業連関表・調査技術担当統計審査官室,不定期,
88,産業,商品,3,商品分類コード(JISX0405)   ,※リンク不可,pdf,統計調査の結果を商品別に表示する場合の統計基準として設定されたもの,http://www.jisc.go.jp/app/pager?id=31259&%23jps.JPSH0090D:JPSO0023:/JPS/JPSO0090.jsp=&AKKNB_vJISJISNO=X0405,,,不定期,
89,産業,商品,4,家計調査　収支項目分類,http://www.stat.go.jp/data/kakei/koumoku/pdf/bunrui22.pdf,pdf,家計の収入・支出、貯蓄・負債などを毎月調査している家計調査の収支項目分類,http://www.stat.go.jp/data/kakei/9.htm,総務省,総務省統計局,不定期,
90,産業,商品,5,輸出統計品目表,http://www.customs.go.jp/yusyutu/2014/,html,外国貿易等に関する統計に使用するコード,http://www.customs.go.jp/yusyutu/index.htm,財務省,財務省関税局,不定期,
91,産業,商品,6,概況品コード表（輸出）,http://www.customs.go.jp/toukei/sankou/code/GH201401e.html,html,外国貿易等に関する統計に使用するコード,http://www.customs.go.jp/toukei/sankou/code/code.htm,財務省,財務省関税局,不定期,
